experiment,total_latency,scalar_latency,vector_latency,matrix_latency,compute_latency,memory_latency
scalar_only,2088333908418.0,2088333908418.0,0.0,0.0,2088333908418.0,3252499806.0
scalar_vector_only,907349042701.0,250468503451.0,656880539250.0,0.0,776290383701.0,750074973170.0
scalar_matrix_only,31306788316.0,18473126416.0,0.0,12833661900.0,31306788316.0,2998597706.0
all_primitives,19266101699.0,49.0,6432439750.0,12833661900.0,18239462599.0,8698396844.0
