row_id,experiment,section,primitive_kind,primitive_name,logical_operation,shape,chunk_shape,elements_per_invocation,invocations,latency_per_invocation,compute_latency,memory_latency,estimated_latency,fallback_from,notes
1,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
2,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
3,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_log,log,"(200,)","(4,)",4,50,1.0,50.0,50.0,50.0,,unary
4,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
5,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_add,add,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
6,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
7,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
8,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
9,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
10,scalar_vector_only,fd.potential.radius.newton_0,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
11,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
12,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
13,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_log,log,"(200,)","(4,)",4,50,1.0,50.0,50.0,50.0,,unary
14,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
15,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_add,add,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
16,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
17,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
18,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
19,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_multiply,multiply,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
20,scalar_vector_only,fd.potential.radius.newton_1,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
21,scalar_vector_only,fd.potential.radius.newton_2,vector,4x_fp32_vector_div,div,"(200,)","(4,)",4,50,8.0,400.0,75.0,400.0,,elementwise
22,scalar_vector_only,fd.potential.radius.newton_2,vector,4x_fp32_vector_sub,sub,"(200,)","(4,)",4,50,1.0,50.0,75.0,75.0,,elementwise
23,scalar_vector_only,fd.potential.radius.newton_2,vector,4x_fp32_vector_log,log,"(200,)","(4,)",4,50,1.0,50.0,50.0,50.0,,unary
