operator_type,chosen_core,runtime_cycles,onchip_energy_pj,offchip_energy_pj
gemm,0,1157.0,924.3200000000002,260.0
add,1,786.0,28.879999999999995,12.0
mul,1,786.0,28.879999999999995,12.0
